train_id;car_id
1;1_1
1;1_2
1;1_3
1;1_4
1;1_5
1;1_6
2;2_1
2;2_2
2;2_3
2;2_4
2;2_5
2;2_6
3;3_1
3;3_2
3;3_3
3;3_4
3;3_5
3;3_6
4;4_1
4;4_2
4;4_3
4;4_4
4;4_5
4;4_6
5;5_1
5;5_2
5;5_3
5;5_4
5;5_5
5;5_6
6;6_1
6;6_2
6;6_3
6;6_4
6;6_5
6;6_6
7;7_1
7;7_2
7;7_3
7;7_4
7;7_5
7;7_6
8;8_1
8;8_2
8;8_3
8;8_4
8;8_5
8;8_6
9;9_1
9;9_2
9;9_3
9;9_4
9;9_5
9;9_6
10;10_1
10;10_2
10;10_3
10;10_4
10;10_5
10;10_6
11;11_1
11;11_2
11;11_3
11;11_4
11;11_5
11;11_6
12;12_1
12;12_2
12;12_3
12;12_4
12;12_5
12;12_6
13;13_1
13;13_2
13;13_3
13;13_4
13;13_5
13;13_6
14;14_1
14;14_2
14;14_3
14;14_4
14;14_5
14;14_6
15;15_1
15;15_2
15;15_3
15;15_4
15;15_5
15;15_6
16;16_1
16;16_2
16;16_3
16;16_4
16;16_5
16;16_6
17;17_1
17;17_2
17;17_3
17;17_4
17;17_5
17;17_6
18;18_1
18;18_2
18;18_3
18;18_4
18;18_5
18;18_6
19;19_1
19;19_2
19;19_3
19;19_4
19;19_5
19;19_6
20;20_1
20;20_2
20;20_3
20;20_4
20;20_5
20;20_6
21;21_1
21;21_2
21;21_3
21;21_4
21;21_5
21;21_6
22;22_1
22;22_2
22;22_3
22;22_4
22;22_5
22;22_6
23;23_1
23;23_2
23;23_3
23;23_4
23;23_5
23;23_6
24;24_1
24;24_2
24;24_3
24;24_4
24;24_5
24;24_6
25;25_1
25;25_2
25;25_3
25;25_4
25;25_5
25;25_6
26;26_1
26;26_2
26;26_3
26;26_4
26;26_5
26;26_6
27;27_1
27;27_2
27;27_3
27;27_4
27;27_5
27;27_6
28;28_1
28;28_2
28;28_3
28;28_4
28;28_5
28;28_6
29;29_1
29;29_2
29;29_3
29;29_4
29;29_5
29;29_6
30;30_1
30;30_2
30;30_3
30;30_4
30;30_5
30;30_6
31;31_1
31;31_2
31;31_3
31;31_4
31;31_5
31;31_6
32;32_1
32;32_2
32;32_3
32;32_4
32;32_5
32;32_6
33;33_1
33;33_2
33;33_3
33;33_4
33;33_5
33;33_6
34;34_1
34;34_2
34;34_3
34;34_4
34;34_5
34;34_6
35;35_1
35;35_2
35;35_3
35;35_4
35;35_5
35;35_6
36;36_1
36;36_2
36;36_3
36;36_4
36;36_5
36;36_6
37;37_1
37;37_2
37;37_3
37;37_4
37;37_5
37;37_6
38;38_1
38;38_2
38;38_3
38;38_4
38;38_5
38;38_6
39;39_1
39;39_2
39;39_3
39;39_4
39;39_5
39;39_6
40;40_1
40;40_2
40;40_3
40;40_4
40;40_5
40;40_6
41;41_1
41;41_2
41;41_3
41;41_4
41;41_5
41;41_6
42;42_1
42;42_2
42;42_3
42;42_4
42;42_5
42;42_6
43;43_1
43;43_2
43;43_3
43;43_4
43;43_5
43;43_6
44;44_1
44;44_2
44;44_3
44;44_4
44;44_5
44;44_6
45;45_1
45;45_2
45;45_3
45;45_4
45;45_5
45;45_6
46;46_1
46;46_2
46;46_3
46;46_4
46;46_5
46;46_6
47;47_1
47;47_2
47;47_3
47;47_4
47;47_5
47;47_6
48;48_1
48;48_2
48;48_3
48;48_4
48;48_5
48;48_6
49;49_1
49;49_2
49;49_3
49;49_4
49;49_5
49;49_6
50;50_1
50;50_2
50;50_3
50;50_4
50;50_5
50;50_6
51;51_1
51;51_2
51;51_3
51;51_4
51;51_5
51;51_6
52;52_1
52;52_2
52;52_3
52;52_4
52;52_5
52;52_6
53;53_1
53;53_2
53;53_3
53;53_4
53;53_5
53;53_6
54;54_1
54;54_2
54;54_3
54;54_4
54;54_5
54;54_6
55;55_1
55;55_2
55;55_3
55;55_4
55;55_5
55;55_6
56;56_1
56;56_2
56;56_3
56;56_4
56;56_5
56;56_6
57;57_1
57;57_2
57;57_3
57;57_4
57;57_5
57;57_6
58;58_1
58;58_2
58;58_3
58;58_4
58;58_5
58;58_6
59;59_1
59;59_2
59;59_3
59;59_4
59;59_5
59;59_6
60;60_1
60;60_2
60;60_3
60;60_4
60;60_5
60;60_6
61;61_1
61;61_2
61;61_3
61;61_4
61;61_5
61;61_6
62;62_1
62;62_2
62;62_3
62;62_4
62;62_5
62;62_6
63;63_1
63;63_2
63;63_3
63;63_4
63;63_5
63;63_6
64;64_1
64;64_2
64;64_3
64;64_4
64;64_5
64;64_6
65;65_1
65;65_2
65;65_3
65;65_4
65;65_5
65;65_6
66;66_1
66;66_2
66;66_3
66;66_4
66;66_5
66;66_6
67;67_1
67;67_2
67;67_3
67;67_4
67;67_5
67;67_6
68;68_1
68;68_2
68;68_3
68;68_4
68;68_5
68;68_6
69;69_1
69;69_2
69;69_3
69;69_4
69;69_5
69;69_6
70;70_1
70;70_2
70;70_3
70;70_4
70;70_5
70;70_6
71;71_1
71;71_2
71;71_3
71;71_4
71;71_5
71;71_6
72;72_1
72;72_2
72;72_3
72;72_4
72;72_5
72;72_6
73;73_1
73;73_2
73;73_3
73;73_4
73;73_5
73;73_6
74;74_1
74;74_2
74;74_3
74;74_4
74;74_5
74;74_6
75;75_1
75;75_2
75;75_3
75;75_4
75;75_5
75;75_6
76;76_1
76;76_2
76;76_3
76;76_4
76;76_5
76;76_6
77;77_1
77;77_2
77;77_3
77;77_4
77;77_5
77;77_6
78;78_1
78;78_2
78;78_3
78;78_4
78;78_5
78;78_6
79;79_1
79;79_2
79;79_3
79;79_4
79;79_5
79;79_6
80;80_1
80;80_2
80;80_3
80;80_4
80;80_5
80;80_6
81;81_1
81;81_2
81;81_3
81;81_4
81;81_5
81;81_6
82;82_1
82;82_2
82;82_3
82;82_4
82;82_5
82;82_6
83;83_1
83;83_2
83;83_3
83;83_4
83;83_5
83;83_6
84;84_1
84;84_2
84;84_3
84;84_4
84;84_5
84;84_6
85;85_1
85;85_2
85;85_3
85;85_4
85;85_5
85;85_6
86;86_1
86;86_2
86;86_3
86;86_4
86;86_5
86;86_6
87;87_1
87;87_2
87;87_3
87;87_4
87;87_5
87;87_6
88;88_1
88;88_2
88;88_3
88;88_4
88;88_5
88;88_6
89;89_1
89;89_2
89;89_3
89;89_4
89;89_5
89;89_6
90;90_1
90;90_2
90;90_3
90;90_4
90;90_5
90;90_6
91;91_1
91;91_2
91;91_3
91;91_4
91;91_5
91;91_6
92;92_1
92;92_2
92;92_3
92;92_4
92;92_5
92;92_6
93;93_1
93;93_2
93;93_3
93;93_4
93;93_5
93;93_6
94;94_1
94;94_2
94;94_3
94;94_4
94;94_5
94;94_6
95;95_1
95;95_2
95;95_3
95;95_4
95;95_5
95;95_6
96;96_1
96;96_2
96;96_3
96;96_4
96;96_5
96;96_6
97;97_1
97;97_2
97;97_3
97;97_4
97;97_5
97;97_6
98;98_1
98;98_2
98;98_3
98;98_4
98;98_5
98;98_6
99;99_1
99;99_2
99;99_3
99;99_4
99;99_5
99;99_6
100;100_1
100;100_2
100;100_3
100;100_4
100;100_5
100;100_6
101;101_1
101;101_2
101;101_3
101;101_4
101;101_5
101;101_6
102;102_1
102;102_2
102;102_3
102;102_4
102;102_5
102;102_6
103;103_1
103;103_2
103;103_3
103;103_4
103;103_5
103;103_6
104;104_1
104;104_2
104;104_3
104;104_4
104;104_5
104;104_6
105;105_1
105;105_2
105;105_3
105;105_4
105;105_5
105;105_6
106;106_1
106;106_2
106;106_3
106;106_4
106;106_5
106;106_6
107;107_1
107;107_2
107;107_3
107;107_4
107;107_5
107;107_6
108;108_1
108;108_2
108;108_3
108;108_4
108;108_5
108;108_6
109;109_1
109;109_2
109;109_3
109;109_4
109;109_5
109;109_6
110;110_1
110;110_2
110;110_3
110;110_4
110;110_5
110;110_6
111;111_1
111;111_2
111;111_3
111;111_4
111;111_5
111;111_6
112;112_1
112;112_2
112;112_3
112;112_4
112;112_5
112;112_6
113;113_1
113;113_2
113;113_3
113;113_4
113;113_5
113;113_6
114;114_1
114;114_2
114;114_3
114;114_4
114;114_5
114;114_6
115;115_1
115;115_2
115;115_3
115;115_4
115;115_5
115;115_6
116;116_1
116;116_2
116;116_3
116;116_4
116;116_5
116;116_6
117;117_1
117;117_2
117;117_3
117;117_4
117;117_5
117;117_6
118;118_1
118;118_2
118;118_3
118;118_4
118;118_5
118;118_6
119;119_1
119;119_2
119;119_3
119;119_4
119;119_5
119;119_6
120;120_1
120;120_2
120;120_3
120;120_4
120;120_5
120;120_6
121;121_1
121;121_2
121;121_3
121;121_4
121;121_5
121;121_6
122;122_1
122;122_2
122;122_3
122;122_4
122;122_5
122;122_6
123;123_1
123;123_2
123;123_3
123;123_4
123;123_5
123;123_6
124;124_1
124;124_2
124;124_3
124;124_4
124;124_5
124;124_6
125;125_1
125;125_2
125;125_3
125;125_4
125;125_5
125;125_6
126;126_1
126;126_2
126;126_3
126;126_4
126;126_5
126;126_6
127;127_1
127;127_2
127;127_3
127;127_4
127;127_5
127;127_6
128;128_1
128;128_2
128;128_3
128;128_4
128;128_5
128;128_6
129;129_1
129;129_2
129;129_3
129;129_4
129;129_5
129;129_6
130;130_1
130;130_2
130;130_3
130;130_4
130;130_5
130;130_6
131;131_1
131;131_2
131;131_3
131;131_4
131;131_5
131;131_6
132;132_1
132;132_2
132;132_3
132;132_4
132;132_5
132;132_6
133;133_1
133;133_2
133;133_3
133;133_4
133;133_5
133;133_6
134;134_1
134;134_2
134;134_3
134;134_4
134;134_5
134;134_6
135;135_1
135;135_2
135;135_3
135;135_4
135;135_5
135;135_6
136;136_1
136;136_2
136;136_3
136;136_4
136;136_5
136;136_6
137;137_1
137;137_2
137;137_3
137;137_4
137;137_5
137;137_6
138;138_1
138;138_2
138;138_3
138;138_4
138;138_5
138;138_6
139;139_1
139;139_2
139;139_3
139;139_4
139;139_5
139;139_6
140;140_1
140;140_2
140;140_3
140;140_4
140;140_5
140;140_6
141;141_1
141;141_2
141;141_3
141;141_4
141;141_5
141;141_6
142;142_1
142;142_2
142;142_3
142;142_4
142;142_5
142;142_6
143;143_1
143;143_2
143;143_3
143;143_4
143;143_5
143;143_6
144;144_1
144;144_2
144;144_3
144;144_4
144;144_5
144;144_6
145;145_1
145;145_2
145;145_3
145;145_4
145;145_5
145;145_6
146;146_1
146;146_2
146;146_3
146;146_4
146;146_5
146;146_6
147;147_1
147;147_2
147;147_3
147;147_4
147;147_5
147;147_6
148;148_1
148;148_2
148;148_3
148;148_4
148;148_5
148;148_6
149;149_1
149;149_2
149;149_3
149;149_4
149;149_5
149;149_6
150;150_1
150;150_2
150;150_3
150;150_4
150;150_5
150;150_6
151;151_1
151;151_2
151;151_3
151;151_4
151;151_5
151;151_6
152;152_1
152;152_2
152;152_3
152;152_4
152;152_5
152;152_6
153;153_1
153;153_2
153;153_3
153;153_4
153;153_5
153;153_6
154;154_1
154;154_2
154;154_3
154;154_4
154;154_5
154;154_6
155;155_1
155;155_2
155;155_3
155;155_4
155;155_5
155;155_6
156;156_1
156;156_2
156;156_3
156;156_4
156;156_5
156;156_6
157;157_1
157;157_2
157;157_3
157;157_4
157;157_5
157;157_6
158;158_1
158;158_2
158;158_3
158;158_4
158;158_5
158;158_6
159;159_1
159;159_2
159;159_3
159;159_4
159;159_5
159;159_6
160;160_1
160;160_2
160;160_3
160;160_4
160;160_5
160;160_6
161;161_1
161;161_2
161;161_3
161;161_4
161;161_5
161;161_6
162;162_1
162;162_2
162;162_3
162;162_4
162;162_5
162;162_6
163;163_1
163;163_2
163;163_3
163;163_4
163;163_5
163;163_6
164;164_1
164;164_2
164;164_3
164;164_4
164;164_5
164;164_6
165;165_1
165;165_2
165;165_3
165;165_4
165;165_5
165;165_6
166;166_1
166;166_2
166;166_3
166;166_4
166;166_5
166;166_6
167;167_1
167;167_2
167;167_3
167;167_4
167;167_5
167;167_6
168;168_1
168;168_2
168;168_3
168;168_4
168;168_5
168;168_6
169;169_1
169;169_2
169;169_3
169;169_4
169;169_5
169;169_6
170;170_1
170;170_2
170;170_3
170;170_4
170;170_5
170;170_6
171;171_1
171;171_2
171;171_3
171;171_4
171;171_5
171;171_6
172;172_1
172;172_2
172;172_3
172;172_4
172;172_5
172;172_6
173;173_1
173;173_2
173;173_3
173;173_4
173;173_5
173;173_6
174;174_1
174;174_2
174;174_3
174;174_4
174;174_5
174;174_6
175;175_1
175;175_2
175;175_3
175;175_4
175;175_5
175;175_6
176;176_1
176;176_2
176;176_3
176;176_4
176;176_5
176;176_6
177;177_1
177;177_2
177;177_3
177;177_4
177;177_5
177;177_6
178;178_1
178;178_2
178;178_3
178;178_4
178;178_5
178;178_6
179;179_1
179;179_2
179;179_3
179;179_4
179;179_5
179;179_6
180;180_1
180;180_2
180;180_3
180;180_4
180;180_5
180;180_6
181;181_1
181;181_2
181;181_3
181;181_4
181;181_5
181;181_6
182;182_1
182;182_2
182;182_3
182;182_4
182;182_5
182;182_6
183;183_1
183;183_2
183;183_3
183;183_4
183;183_5
183;183_6
184;184_1
184;184_2
184;184_3
184;184_4
184;184_5
184;184_6
185;185_1
185;185_2
185;185_3
185;185_4
185;185_5
185;185_6
186;186_1
186;186_2
186;186_3
186;186_4
186;186_5
186;186_6
187;187_1
187;187_2
187;187_3
187;187_4
187;187_5
187;187_6
188;188_1
188;188_2
188;188_3
188;188_4
188;188_5
188;188_6
189;189_1
189;189_2
189;189_3
189;189_4
189;189_5
189;189_6
190;190_1
190;190_2
190;190_3
190;190_4
190;190_5
190;190_6
191;191_1
191;191_2
191;191_3
191;191_4
191;191_5
191;191_6
192;192_1
192;192_2
192;192_3
192;192_4
192;192_5
192;192_6
193;193_1
193;193_2
193;193_3
193;193_4
193;193_5
193;193_6
194;194_1
194;194_2
194;194_3
194;194_4
194;194_5
194;194_6
195;195_1
195;195_2
195;195_3
195;195_4
195;195_5
195;195_6
196;196_1
196;196_2
196;196_3
196;196_4
196;196_5
196;196_6
197;197_1
197;197_2
197;197_3
197;197_4
197;197_5
197;197_6
198;198_1
198;198_2
198;198_3
198;198_4
198;198_5
198;198_6
199;199_1
199;199_2
199;199_3
199;199_4
199;199_5
199;199_6
200;200_1
200;200_2
200;200_3
200;200_4
200;200_5
200;200_6
201;201_1
201;201_2
201;201_3
201;201_4
201;201_5
201;201_6
202;202_1
202;202_2
202;202_3
202;202_4
202;202_5
202;202_6
203;203_1
203;203_2
203;203_3
203;203_4
203;203_5
203;203_6
204;204_1
204;204_2
204;204_3
204;204_4
204;204_5
204;204_6
205;205_1
205;205_2
205;205_3
205;205_4
205;205_5
205;205_6
206;206_1
206;206_2
206;206_3
206;206_4
206;206_5
206;206_6
207;207_1
207;207_2
207;207_3
207;207_4
207;207_5
207;207_6
208;208_1
208;208_2
208;208_3
208;208_4
208;208_5
208;208_6
209;209_1
209;209_2
209;209_3
209;209_4
209;209_5
209;209_6
210;210_1
210;210_2
210;210_3
210;210_4
210;210_5
210;210_6
211;211_1
211;211_2
211;211_3
211;211_4
211;211_5
211;211_6
212;212_1
212;212_2
212;212_3
212;212_4
212;212_5
212;212_6
213;213_1
213;213_2
213;213_3
213;213_4
213;213_5
213;213_6
214;214_1
214;214_2
214;214_3
214;214_4
214;214_5
214;214_6
215;215_1
215;215_2
215;215_3
215;215_4
215;215_5
215;215_6
216;216_1
216;216_2
216;216_3
216;216_4
216;216_5
216;216_6
217;217_1
217;217_2
217;217_3
217;217_4
217;217_5
217;217_6
218;218_1
218;218_2
218;218_3
218;218_4
218;218_5
218;218_6
219;219_1
219;219_2
219;219_3
219;219_4
219;219_5
219;219_6
220;220_1
220;220_2
220;220_3
220;220_4
220;220_5
220;220_6
221;221_1
221;221_2
221;221_3
221;221_4
221;221_5
221;221_6
222;222_1
222;222_2
222;222_3
222;222_4
222;222_5
222;222_6
223;223_1
223;223_2
223;223_3
223;223_4
223;223_5
223;223_6
224;224_1
224;224_2
224;224_3
224;224_4
224;224_5
224;224_6
225;225_1
225;225_2
